(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,confidence_institutions,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
-6.595723272017331e-4,0.0013757856578284417,0.0019400483042186973,0.0023250349992381025,0.002181020884208622,0.0027186899185139115,0.0025348589740940355,0.0026883279806799,0.003308661881428069,0.0034723126434429903,0.004053562945557324,0.003203974016114216,0.0033831845329621735,0.0035006181496300597,-4.3528315614016e-5,2.0203352498402645e-5,-1.701283411312657e-7,-1.012157914097141e-4,-1.6740000716910077e-4,-7.79770413937199e-5,-1.035347557200392e-4,1.60538611015933e-5,-2.093991960818707e-4,5.134779385433435e-6,4.7123075970187145e-6,-2.126450731515387e-5,5.292854806249105e-5,-1.9788725903491477e-4,7.205421798533981e-6,-1.080288601915206e-5,-7.393352295123442e-6,7.948111664499654e-5,-1.8297036780532783e-5,-8.864127126626551e-5,-1.6392816411335327e-5,-2.5399716784174596e-5,9.351670460702666e-5,-6.312493143379285e-4,-1.538690827844843e-4,3.322103688693055e-4,-0.0013991081243860182,4.704600446231929e-5
-0.008318655806192364,0.0013474977722269948,0.0018898258040675412,0.0022991007782063337,0.0022327391510496165,0.0026009820342916454,0.0027588638066990477,0.0025471359158322914,0.0030761948786450386,0.0030481219089040675,0.003203974016114225,0.00457309045196733,0.0037297550863130847,0.0035789579391393212,6.141212884254945e-5,2.945447623050129e-5,-3.8073891795999035e-07,-6.669966743368217e-5,-1.1848986146654458e-4,-7.22642623041161e-5,-8.578344529225525e-5,-3.370130256622722e-5,-1.978109358149111e-4,-1.4183445711761185e-4,-4.611608916899736e-5,-1.8100430707148268e-4,2.357737447027214e-5,-2.4597344206543355e-4,9.218432220547312e-6,1.0288655786475728e-4,-1.7359450782012515e-5,7.112098842359012e-5,-2.3750370898424388e-5,-6.279623070149941e-5,-3.9179981092665285e-6,-3.189476008155357e-5,9.748701259275137e-5,1.81104749340247e-4,-1.2329953818905663e-5,9.075823295279524e-4,-0.001442479496392734,1.4903070337585194e-5
-0.0032707065331942045,0.001391289299467814,0.001927080078260999,0.0021936132863815826,0.0019429741528363862,0.0025308445865894896,0.0025256124527254075,0.002554109484139251,0.003067141576083623,0.0031050687973083685,0.0033831845329621896,0.0037297550863130847,0.004161183407495259,0.00368002387032133,6.341246771682905e-5,2.567343839370352e-5,-3.519311590922474e-7,-5.342619436067725e-5,-1.2015545343426727e-4,-9.785947230032716e-5,-1.1300089846168014e-4,7.380382067258123e-6,-1.8715546786113237e-4,-6.260613942480493e-5,1.6976505790203924e-5,-1.0111775147381829e-4,8.549782426097181e-5,-1.9083095276448153e-4,1.0683297260368111e-5,1.2982723071879395e-4,4.725876321571315e-6,6.93791094314906e-5,-2.2466338141521305e-5,-6.029488219543971e-5,-8.496128213631326e-6,-2.9160823621028433e-5,8.316567324555427e-5,-5.088093731505918e-4,-4.0806930440284764e-5,2.6844208780651404e-4,-0.0012502031021950377,3.0023584763886263e-5
-0.001211769371738088,0.0014271274494586578,0.0020422073547123514,0.0024113889809655705,0.0022781059060469483,0.002803718087527668,0.0027670052384398147,0.0027513582757706457,0.003199762533659355,0.003232023275828383,0.003500618149630086,0.003578957939139328,0.0036800238703213416,0.004440584748407484,1.5681185529532415e-5,2.0444427748571856e-5,-2.8433940285813995e-7,-1.862953129252916e-5,-1.9907413049413375e-5,-5.050807145951552e-6,-1.5546139408068645e-4,-1.029586423950587e-5,-1.2605176894871312e-4,-8.619196651636262e-5,-6.294862682103329e-5,-1.1158096337370152e-4,5.140294948368338e-5,-1.0756898888329762e-4,5.840477426339604e-6,1.5260452494231626e-4,-5.786681187209838e-6,6.854163692970037e-5,-3.1241759403901603e-7,-6.699583828094573e-5,-2.6418779206674145e-6,-2.1735847595845962e-5,8.394550004643358e-5,-9.252233175718572e-4,-4.162962849587335e-5,6.924740574300135e-4,-0.001435832612708591,3.580863317707521e-5
0.0013468950161615464,-6.132479837030771e-5,-1.6332688417284894e-5,-3.059189500727252e-5,-4.774644073975553e-5,-1.601467390637305e-4,-5.777557925582568e-5,-5.147074626722014e-5,5.1699926763947384e-5,6.7255461772390695e-6,-4.352831561401578e-5,6.141212884254971e-5,6.341246771682912e-5,1.568118552953291e-5,1.724814065298961e-4,1.1958288037834337e-5,-1.4573515501927977e-7,1.8050378423205032e-5,2.378922611873666e-5,-2.0660586633722998e-7,-5.111134946184653e-5,-2.3140773240815248e-5,7.310232397594752e-6,-3.13162476564666e-5,-6.88350702614524e-5,3.301949034514813e-5,-2.4548500752645837e-5,-1.0490092855613538e-5,-3.3132357724931873e-7,-7.0653301821582236e-6,1.067696259137587e-6,4.71954153434543e-7,-5.655211772490578e-6,-1.0021764120245833e-6,-1.483126987737483e-6,4.14079778045317e-6,-1.088450298337324e-5,-2.1581547241772008e-5,2.4641210804763887e-5,1.2937163870402219e-4,-9.118326667328084e-5,-1.2695088932277757e-6
1.7270012451224587e-5,1.847424681428003e-5,9.034538993994788e-6,1.5496982255894117e-5,-6.6720249067906e-6,-8.503506231108366e-6,7.13497087404156e-6,6.57782665795206e-6,1.1366708028775362e-5,1.6315251385072273e-5,2.02033524984031e-5,2.9454476230501766e-5,2.5673438393703815e-5,2.0444427748571822e-5,1.195828803783434e-5,7.409984214476876e-6,-7.044846735265131e-8,-2.088782786699693e-5,-2.977366712834407e-5,-1.9215943673536216e-5,-2.2451032309374986e-5,-5.653288018107906e-6,-3.468657861047927e-5,-1.3122792217460897e-5,-1.5988777098142813e-5,1.3309410502847364e-5,-1.4297185192381753e-5,-1.4045737147952672e-6,2.9111457901709445e-7,-1.8196720903415122e-5,1.4243585243692168e-6,1.2431826516080507e-6,-9.667280431545684e-7,-1.6824078767793548e-6,-2.4306671426952628e-6,-7.270846405138804e-7,-7.706508710323641e-8,1.1907962460613453e-5,1.3864337072871511e-6,-4.307576867782e-5,1.7663537356122937e-5,7.155914477624596e-7
1.0039456456272056e-6,-1.7371266804117663e-7,-7.223155500675788e-8,-1.1830133572173166e-7,5.6559288749155216e-8,9.26718405732944e-8,-8.38018201825234e-8,-8.5593429273212607e-08,-9.747352622625804e-8,-1.4573049559838335e-7,-1.7012834113126932e-7,-3.8073891795999506e-7,-3.519311590922493e-7,-2.843394028581379e-7,-1.4573515501927975e-7,-7.044846735265085e-8,7.595546626505242e-10,1.743756635531288e-7,2.3663830477396394e-7,1.818172288980529e-7,1.9027430217776335e-7,3.3409105348380994e-8,2.85062545372129e-7,1.2309418146136466e-7,1.472218381590934e-7,-8.584189145736613e-8,1.0406589898391243e-7,2.6115790569007713e-8,-3.6788935963480292e-9,1.1141348947646107e-7,-1.3956060491926107e-8,-1.093967957792801e-8,1.2008867504366299e-8,1.0987533214058109e-8,2.154373234178455e-8,4.198679121908093e-9,-5.7414108840999246e-9,-1.592008275966248e-7,-2.6733187215876195e-8,3.3603379395960047e-7,-1.7456054778659592e-7,5.460899487030661e-10
-1.0794630672490973e-4,1.838709247004562e-5,1.2201438710318939e-4,7.868046893895888e-5,1.6218209220520658e-4,7.593436449943254e-5,8.863304268067927e-5,9.937482051819004e-5,7.651999760387168e-5,3.4028884482709337e-5,-1.012157914097152e-4,-6.669966743368354e-5,-5.3426194360678315e-5,-1.8629531292529076e-5,1.8050378423205083e-5,-2.088782786699677e-5,1.7437566355312847e-7,3.1657766801308475e-4,2.6757079973956235e-4,1.6511222960279527e-4,1.1343754317963601e-4,8.516190560427963e-5,2.593098493612571e-4,6.446074603657764e-5,2.822896764894071e-5,-5.815751335714348e-5,9.09579279696094e-5,-1.3215621735477648e-5,-1.5199801071857827e-6,1.781394889396564e-4,-3.751216612841458e-6,-4.282845270833538e-6,-9.359297812628468e-7,9.390380662537746e-6,7.908753847972416e-6,9.138386532980598e-6,-3.3164812566341915e-6,-9.052493777921437e-5,-1.0044374250137798e-5,1.7789922165043956e-4,1.8556828579309168e-5,-5.869241052312152e-6
0.0013211813472150335,-4.155365473733391e-5,1.1852056925482695e-5,-3.0948841199562714e-5,7.682563742876568e-5,-1.3110001564694312e-5,-3.135983861617381e-5,1.7046374302021048e-5,-1.1590320337866978e-5,-4.328603070612395e-5,-1.674000071691016e-4,-1.184898614665457e-4,-1.2015545343426811e-4,-1.9907413049413067e-5,2.3789226118736686e-5,-2.9773667128343912e-5,2.366383047739643e-7,2.675707997395623e-4,4.043223565615836e-4,1.9309481482960363e-4,1.0945693275659121e-4,5.2836923406622976e-5,2.737415994379368e-4,7.013795154366375e-5,2.2712051483256777e-5,-6.0747904210712076e-5,1.0876693542823164e-4,-1.0347149045487604e-5,-1.8003407562366246e-6,1.7731173673420368e-4,-1.0716314948389261e-6,-1.1418054922462127e-5,2.316717124929446e-7,1.372967155394453e-5,1.3884044657321098e-5,1.0197119882101348e-5,-3.942205859333822e-6,-2.4906921551135256e-4,2.0500593866156501e-7,3.578089831678852e-4,3.222743630887931e-5,-7.588271342522504e-6
5.263348853380529e-4,3.795392127282738e-5,1.2306772986918953e-4,5.524781726411723e-5,1.1013088445924883e-4,9.16310762200584e-5,4.9195698275698635e-5,8.92804510524249e-5,1.9788211883030135e-5,-1.1650066008006686e-6,-7.797704139371978e-5,-7.226426230411583e-5,-9.785947230032847e-5,-5.0508071459521506e-6,-2.0660586633707007e-7,-1.9215943673536166e-5,1.818172288980514e-7,1.65112229602795e-4,1.9309481482960344e-4,2.930585058200936e-4,2.3431163109662712e-5,2.741495571172283e-5,1.1743032160348339e-4,4.377082843855222e-5,-3.557795919245456e-5,-2.8062734950604275e-5,2.6005869124806073e-5,2.677983292291022e-5,-2.59739621254008e-6,5.4210676609982395e-5,-4.487128720032767e-6,-5.6457477108978275e-6,-1.055862821773535e-5,1.3265515007905577e-5,9.832087719633837e-6,1.0703118780778205e-5,9.989914480257574e-8,-1.3694455084020665e-4,-2.5588236762975693e-6,2.071518673152086e-4,-1.7102963122843275e-5,-4.83942245231596e-6
