(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:social_protection,social_protection:relative_income,social_protection:gdp,social_protection:growth
0.0019056406488989171,-5.7950932812433456e-5,-7.890644602620954e-5,-8.443203343561335e-5,-1.565053199135482e-4,-2.117731198854209e-4,-1.6776946270139707e-4,-1.0325634530003648e-4,-2.4597677775057634e-5,-6.673207482125528e-5,-3.437366891687589e-5,-1.6871843845623266e-4,-1.1221275528138948e-4,-1.1922412729563633e-4,3.7258452643236344e-5,1.645512212458691e-5,-1.2415325407174028e-7,-6.573099862659175e-5,-6.504524354253759e-5,-2.2889442241958857e-5,-4.603728668976605e-5,-9.931976633514203e-5,-1.4777415707871032e-4,-5.2124928539258663e-5,-8.892385467562677e-6,3.1327869242690266e-4,-4.166199302185972e-7,-8.896123757249526e-5,8.919046969451493e-6,1.050548794721469e-5,-2.2132216661206265e-8,8.219978702957083e-7,-6.026227754807534e-6,-4.269928145202682e-6,-5.2691052366096986e-6,-1.554914168482873e-5,-5.494171263569606e-5,-1.1920338078522428e-5,-1.4801685623234298e-4,-3.485920633902692e-5,3.2741267107619535e-5,1.0536996454133909e-6,-1.0352091049768314e-7,-2.6889563129199696e-6,3.212375180925657e-7
5.43233092881558e-4,-5.1772938683371644e-5,-5.2956583904648325e-5,7.135906399537312e-5,9.986350796841018e-5,1.2513864822619118e-4,1.2736384209218854e-5,2.08181889864316e-6,2.09932176754806e-5,4.455044459517184e-5,1.1358302122367069e-5,-4.401125391875983e-6,4.716101733694295e-5,1.9687342708322725e-6,-3.5929869264343375e-5,-1.3401723450391933e-5,8.982694034789702e-8,9.08783258256422e-5,1.0717356866549384e-4,4.054190843388554e-5,1.22208808481621e-4,3.967645906820439e-5,0.00015634579837369307,9.389236464513553e-5,1.237008282831276e-4,-4.1661993021859463e-7,2.283632667317921e-4,3.4912154197080952e-6,1.3902347017285197e-6,2.2862670127732964e-6,1.5768700962677184e-6,1.6168075710195368e-6,1.0381559368136134e-6,6.689143692682954e-6,7.347056995745275e-7,1.37710508919209e-5,-3.5593166479470255e-4,-2.763002803087102e-5,1.8906766230219032e-4,-5.194677177989927e-5,-8.861152814833047e-6,-8.737261178501171e-7,2.9304914116826534e-9,1.692147954225698e-6,3.823976224522695e-7
0.0030401407797037787,-1.1152507486893034e-4,-1.741327359821564e-4,-1.838986573415471e-4,-4.4412879876098956e-5,-6.542226629738667e-5,1.5880827908874127e-5,-2.0799316269880694e-4,-3.245113804526447e-4,-3.4548686416273415e-4,-2.206957717227542e-4,-7.511223461922174e-5,-1.346732807188965e-4,1.9279474481014746e-4,4.06664029216874e-5,-1.483196073434811e-5,1.2783597921624667e-7,4.623641807422278e-5,1.1904381623274775e-4,1.5902920740547784e-4,-2.063529751852105e-5,7.32170768940017e-5,1.203263542437315e-4,3.102322012544095e-5,-5.6821076945941396e-5,-8.896123757249491e-5,3.491215419708128e-6,9.378426673538927e-4,-3.768395824699313e-5,-1.9992834800480358e-5,-1.6502527676665575e-6,-5.4851371808028154e-8,2.936286224567438e-5,-4.7426702989875304e-7,1.3356242728057682e-5,-1.537298820619635e-5,-9.31423586724539e-4,1.5596360556396896e-4,4.0018203042786364e-4,-2.397236699117155e-4,-2.7756148313449605e-5,-1.2833978967113421e-5,4.747904334410441e-7,1.1606595419362758e-5,-1.7324876376819448e-6
-2.294313304636588e-4,8.840646679602429e-6,4.062183562817659e-6,1.0609276890849112e-5,6.461963245788472e-6,5.2327462156046785e-6,-3.840627927510754e-6,4.7113849486031115e-6,8.214315438254865e-6,6.0362698675035985e-6,8.275722484966022e-6,-2.555205181319463e-6,7.164611855815507e-6,-8.030625411724317e-6,-3.027275526783306e-6,1.0273760782950668e-6,-8.166315499538883e-9,-3.943839611660128e-6,-7.519507500800874e-6,-8.239531211714794e-6,-8.686237566382188e-7,-5.421265188249399e-6,-9.167082513940185e-6,-1.8720893628018558e-6,6.561450305019985e-6,8.919046969451478e-6,1.3902347017285242e-6,-3.768395824699378e-5,2.32878171480203e-6,1.0497780203885228e-6,5.021762241570106e-7,1.8618060195809748e-6,-1.015003794800589e-6,-7.060080990984798e-8,-1.5117642182640683e-6,7.33153591806014e-7,2.3931854893178846e-5,-5.149244376581755e-6,-3.623642763449249e-5,2.139937838899148e-5,-1.1569764236733056e-7,4.883058357416155e-7,-2.856402203308981e-8,-2.0344272376250423e-7,4.841590624605524e-8
9.185547774736425e-4,-5.915585494456651e-7,-2.2186562728069235e-5,-3.150997105486298e-5,-3.86662578576185e-5,-2.386715038561848e-5,-1.274640975072577e-5,-7.2109374748786926e-6,-1.4778441796335472e-5,-1.3206170157347283e-5,-1.035235006600692e-5,-2.0405083421005484e-5,-3.3457592783343473e-6,-1.6069585803410546e-5,3.714039826163118e-7,1.3912228764679045e-6,-1.3422146020156533e-8,-3.515183207827772e-6,-1.7866645946253872e-6,-3.901020466824873e-6,1.7101184652417298e-6,-1.3505256397374673e-5,-1.3442941058523566e-5,-4.759769108353447e-6,-2.206488852965927e-6,1.0505487947214687e-5,2.2862670127732994e-6,-1.9992834800480185e-5,1.0497780203885135e-6,8.300162378427968e-6,-5.815872471247451e-6,-2.9534107640131824e-6,-2.0488563713584366e-7,7.715861957175809e-7,-1.1438588473983876e-6,-1.9719230658313428e-6,-5.300458316474297e-5,-4.417779391603748e-7,1.8136570290449722e-5,-9.48366749073486e-6,6.000586883231263e-7,2.3345081424257666e-7,-1.0931473239372989e-8,-1.8424049740642744e-7,1.1479250505008751e-8
-8.025867368351507e-4,1.356918455516835e-5,3.2752629746775635e-5,5.7842983178119186e-5,4.73211130904542e-5,4.238624084467805e-5,3.0581540433788105e-5,3.96658997683929e-5,6.670351477825908e-5,7.471333150692404e-5,7.619237228543445e-5,6.828075284877309e-5,6.862652713509235e-5,6.898750854734677e-5,2.165386915778089e-7,1.1493815464604517e-6,-9.84475051192802e-9,-4.190950521426804e-6,-9.679684594200632e-6,-5.362562759208497e-6,-6.321698553196657e-6,1.156303399454659e-5,1.7050214976803925e-6,1.1212433152895026e-6,7.724012138002743e-6,-2.2132216661213846e-8,1.576870096267717e-6,-1.6502527676666469e-6,5.021762241570153e-7,-5.815872471247457e-6,1.0332132121667175e-5,1.9305320385366034e-6,-2.760158956172405e-6,-3.2696690482736037e-6,2.1131873644152342e-7,1.5091858271866541e-6,5.165799624220587e-5,-3.541821694952499e-6,-3.4675413007576234e-5,-2.5213754846836457e-7,2.916943740973136e-6,1.3537379025105412e-8,-6.612486536587271e-9,-2.3829163286515166e-7,-4.7494166864838e-9
-0.0018698518955381313,-1.5545259698239938e-5,-1.1124865492766567e-5,3.1927861123398616e-5,3.212386628423153e-5,1.5249689602443431e-5,-1.6204721554831495e-5,-1.8585463427543935e-5,-2.522948974591783e-5,-5.0616618675103936e-5,-1.5283418981046034e-5,-2.2716027317392303e-5,-2.619664580847854e-5,-4.32357524572112e-6,-4.871046093095354e-6,-6.725839388905864e-7,9.301646458287734e-9,-8.624812054146884e-7,2.795290134161103e-7,-1.0229635078009607e-5,-5.3731242864252635e-6,-8.266577989630665e-6,7.299714384139343e-6,-4.107214533977238e-6,2.554700674275931e-5,8.219978702957048e-7,1.6168075710195338e-6,-5.485137180776105e-8,1.861806019580963e-6,-2.9534107640132027e-6,1.930532038536611e-6,2.6407786470022943e-5,2.666956092430848e-6,-7.709452592857501e-7,-4.995797960217584e-6,5.414859779450809e-6,-7.385641567252252e-5,1.2752324607222058e-6,-6.827595823129191e-5,4.3563317596435014e-5,-3.7258011549672753e-6,-8.310676168678768e-8,-2.14385789915817e-8,9.154480919210613e-7,4.905336601515523e-9
5.904486773323726e-6,-1.3284364422664156e-5,-6.04338979601752e-5,-4.344309432385685e-5,-4.07507824610912e-5,-5.2545550315143924e-5,-3.5073479352753394e-5,-3.581290021359832e-5,-7.823668024866628e-5,-9.379814447190681e-5,-9.87179474869656e-5,-7.207667469357593e-5,-6.644906835249208e-5,-8.045381653021117e-5,-3.7878142288445526e-7,-1.525009755239464e-6,9.002976382237628e-9,8.85669222578742e-6,1.3338223721568733e-5,1.2298164962614278e-5,2.5593876294698686e-6,1.4810677070642559e-5,1.0346298250790161e-5,-3.5939681092727718e-6,8.911597822884892e-7,-6.0262277548075245e-6,1.038155936813609e-6,2.936286224567435e-5,-1.0150037948005895e-6,-2.048856371358688e-7,-2.7601589561724047e-6,2.6669560924308522e-6,1.7310317770402618e-5,2.394931526278172e-6,1.7046788934321974e-6,-1.5109382071464177e-6,-1.6686120325465646e-4,-4.892988139465551e-7,5.285115213393252e-6,4.4463751823707265e-5,-1.898477179288885e-5,-3.8952753326792903e-7,1.306834716723314e-8,1.943136154772067e-6,4.259873113280058e-8
-8.358684636668578e-5,-3.1695651149935705e-6,-1.6757511623611442e-7,-2.2159375432768474e-6,1.1867216143383406e-5,1.700223931729921e-5,1.7676813248798414e-5,1.259441852240931e-5,4.7791639552907006e-6,-4.430349346261114e-6,-1.5549375773406782e-5,8.20415811991273e-7,-2.3320194878060987e-6,-5.178569393287584e-6,-2.2022660499610957e-6,-2.287320315826101e-6,2.033039227186246e-8,6.289780037367172e-6,1.1710211481616856e-5,8.246071331576598e-6,8.66735784358946e-6,-3.482576523793988e-6,1.0819322257700096e-5,7.07901949402922e-6,7.923902272057097e-6,-4.269928145202678e-6,6.6891436926829505e-6,-4.7426702989893785e-7,-7.060080990984328e-8,7.715861957175782e-7,-3.2696690482736088e-6,-7.709452592857511e-7,2.3949315262781647e-6,8.783346791989906e-6,-8.839904008676644e-7,-3.5746509179573337e-7,-3.777807307598089e-5,-2.6295949767828717e-6,4.438120319754309e-5,7.56470375685559e-6,-3.619645844619172e-7,-1.485834921107285e-8,1.2400664126290238e-9,-1.4032555296972236e-7,7.13142637762959e-8
9.064057388697576e-4,-6.408701899777721e-6,1.1030310621978672e-5,-5.400198414304067e-6,-1.4740408989073526e-5,-2.1832895928189138e-5,-1.207850955702736e-5,-1.1377425651886902e-5,-1.4638990528106253e-5,-5.359047225166594e-6,-2.3278627797107048e-5,-3.181936828000485e-5,-2.422938666547323e-5,-1.887337425915462e-5,4.8030983596747374e-6,-5.708656286609119e-7,3.2274093818124903e-9,8.618875302639991e-6,9.407470922838243e-6,8.727342008302265e-6,6.06624152826242e-6,1.078503020155431e-5,1.0525365293581301e-5,2.955560220538145e-6,-9.22633209297254e-6,-5.269105236609697e-6,7.347056995745194e-7,1.3356242728057728e-5,-1.5117642182640709e-6,-1.1438588473984162e-6,2.113187364415246e-7,-4.99579796021758e-6,1.7046788934321966e-6,-8.83990400867656e-7,5.214747269245684e-6,-6.320175603313123e-7,-8.222602266699482e-5,3.5779237561982174e-6,3.0477749517467317e-5,1.043446527103197e-5,-6.7014857691232506e-6,-1.383509954799351e-7,1.7653194975378395e-8,5.617745756507263e-7,-6.677844545551127e-8
