(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,satisfaction_standard_living,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
-0.002503301837341017,0.0011293869874941483,0.0016196346289812356,0.001842408091930987,0.001706890956603052,0.0022208233405909094,0.002243626239501321,0.0023543825135693597,0.0027102345846216304,0.0029228229612769394,0.0033766628732979516,0.002564576673865533,0.002810415307620382,0.0027590575722556744,-4.2013234018509804e-5,2.1559849841651917e-5,-1.8151967403731644e-7,-7.597116146828615e-5,-1.4900514637647644e-4,-7.637470418719842e-5,-1.0094903633240322e-5,6.088180881735256e-6,-1.6611516675303121e-4,-5.671305226884712e-6,5.4404660200575276e-5,4.079531106389231e-6,7.075710120306206e-5,-1.7786175496948818e-4,6.3557163661197944e-6,-1.80717059191158e-4,-5.9850456741212136e-06,6.725664098185094e-5,-9.823003970367484e-6,-6.703406879689671e-5,-1.1210000862041935e-5,-1.973879728843379e-5,6.307028281431485e-5,-3.205090480494847e-4,-1.230720617336434e-4,1.586539479780452e-5,-0.0012070526766935275,3.90712182775311e-5
-0.008306964783454355,0.0011452107958507614,0.001680954058425942,0.0019002089050186993,0.0018083457948513723,0.002149616224987101,0.002404140581229594,0.0021474394289172495,0.002519027861993041,0.0025260858407499904,0.002564576673865532,0.003620645713157918,0.0029489762306961205,0.0027922388405138463,7.822777464397239e-5,2.925853801991905e-5,-3.2270450182063545e-7,-4.649639825970316e-5,-1.072995129763801e-4,-6.620087682727673e-5,-1.0026659926984554e-4,-4.0242159797387086e-5,-1.7382827991711396e-4,-9.109106824841384e-5,9.03283543118015e-6,-1.31256776437895e-4,-1.1523010601307299e-5,-1.660949757500982e-4,5.802616984221368e-6,-8.868979963163629e-5,-1.6023402652751367e-5,5.811093609151291e-5,-1.3070564272404017e-5,-4.572544037769111e-5,2.948090640841709e-6,-2.6793723109066138e-5,6.381203436376404e-5,2.757191199098471e-4,-9.988517469126026e-6,4.6846425056944245e-4,-0.0012476008420304959,1.7150385848607148e-5
-0.004669213545094851,0.0011957116552631735,0.0017425080765971729,0.0018904725920982142,0.001657596378219084,0.002202167395088489,0.002270546125234678,0.002272713858231283,0.002601078100395059,0.0026889603417835843,0.0028104153076203772,0.002948976230696119,0.0034305184434848405,0.0029226188101812017,5.605667775586243e-5,2.6069764882007077e-5,-3.2254086848310477e-7,-3.1400954515302116e-5,-7.967360947623168e-5,-6.845994359666293e-5,-5.963597500739478e-5,-8.737461927142988e-6,-1.641779903543908e-4,-3.2900555330543134e-5,5.801070523969318e-5,-7.809418552729241e-5,6.428546702345238e-5,-1.5088672667445784e-4,7.360011752692521e-6,-3.8796084662538975e-5,3.52614012734352e-6,5.695022188422159e-5,-1.8560674224605025e-5,-4.6748607983345804e-5,-3.729595050324741e-6,-2.231928421941588e-5,6.0165921426358584e-5,-2.186083699147157e-4,-3.939094829469772e-5,-3.930289855239124e-5,-0.001162785284658145,2.8848025899478704e-5
-0.0024347692827213652,0.0011163390814063528,0.001679072849377447,0.0018662164287202296,0.0017742126039665277,0.0022744202389228946,0.002328656897461221,0.0023035217153967984,0.0025719791200080225,0.0026239923976621835,0.002759057572255677,0.0027922388405138532,0.0029226188101812095,0.003434836245579135,2.074277419794843e-5,2.2847239738500373e-5,-2.8482048303068317e-7,-7.240727675559942e-6,-8.353383543213726e-6,-7.0336314581208516e-6,-1.0016315855019916e-4,-3.335382582088817e-5,-1.0001030962747372e-4,-5.35929215183623e-5,9.99361836906219e-7,-6.383115863417434e-5,6.482368894841473e-5,-9.53562265445394e-5,4.098226254215031e-6,-7.937204644134232e-5,-8.849421864535754e-6,5.5370928932232785e-5,1.7128713339201817e-6,-4.9016526773651324e-5,-2.945518586865163e-6,-1.5806281810882834e-5,6.028536245343861e-5,-5.757041735813169e-4,-2.934295313432812e-5,3.8965558779935496e-4,-0.0012275461739476657,3.2949618453377885e-5
0.0016852034765282352,-4.040972651214069e-5,1.1266601331430759e-5,-1.964999191547819e-5,-3.126456680968744e-5,-1.704994026793611e-4,-4.625960490984399e-5,-5.620369828725559e-5,4.45400477937534e-5,2.7765076641270294e-6,-4.201323401850986e-5,7.822777464397236e-5,5.605667775586228e-5,2.0742774197948414e-5,1.637438806163032e-4,9.659685235308086e-6,-1.1061866883661383e-7,1.9416869540328282e-5,1.0381926840762871e-5,-7.741525922465308e-6,-5.347877774945752e-5,-1.4946761801577089e-5,3.3975252367905135e-6,-1.984497821018399e-5,-4.47792159489854e-5,1.7324497119077628e-5,-2.4930814081116866e-5,2.880763790138499e-6,-2.847060192664918e-7,-7.444773685543969e-5,1.1260799133660823e-6,3.43561728793158e-7,-2.750119433195205e-6,-2.0087766212207266e-6,-2.5561410807634324e-6,3.0314523662718035e-6,-1.527912390958395e-5,-1.2491470738979877e-5,2.8926777286859044e-5,1.096160666077098e-4,-4.563023325988192e-5,-2.0191623152942697e-6
-1.4174136052004766e-5,1.4634516263137028e-5,1.1601847132207066e-5,1.777257397381266e-5,-2.1891768274846024e-6,-9.1713194149142e-6,9.381904788951788e-6,8.778730430805814e-6,1.4264975620618303e-5,1.898164633991412e-5,2.1559849841651897e-5,2.925853801991901e-5,2.6069764882006918e-5,2.2847239738500383e-5,9.659685235308098e-6,5.3608886428354395e-6,-5.367046246565866e-8,-1.3100040614730718e-5,-1.9185134721533307e-5,-1.1472409026903423e-5,-8.430178921196309e-6,-1.253694681628943e-6,-2.202880374894359e-5,-8.520147916477426e-6,-9.976271431998718e-6,6.911880986451669e-6,-4.225794862735403e-6,-5.307716862177642e-6,3.2454578633742224e-7,-2.3013168101464834e-5,1.2765609494365228e-6,1.4152009345896923e-6,-2.900159201919476e-7,-1.6972002351213245e-6,-1.7457735003560406e-6,-7.074783538537891e-7,-4.6948457590349634e-7,1.3010418438484719e-5,1.4445881673921907e-6,-4.185438816502349e-5,1.2130432474040365e-5,6.36093152125468e-7
3.9160419318416005e-7,-1.3751187982973725e-7,-9.679502338893087e-8,-1.2767200196147735e-7,2.5146315615434314e-8,1.081077072310031e-7,-9.236102554716838e-8,-8.801170445712823e-8,-1.1727751035579755e-7,-1.6733925585426157e-7,-1.8151967403731657e-7,-3.2270450182063513e-7,-3.2254086848310365e-7,-2.8482048303068386e-7,-1.1061866883661405e-7,-5.367046246565932e-8,6.177647930444284e-10,1.0728084752975244e-7,1.3464637872780758e-7,9.001518166837267e-8,7.640961198212155e-8,9.092479070052396e-9,1.8474846405271753e-7,7.832501513561013e-8,8.690995588117396e-8,-3.5338166767362565e-8,1.78794935839751e-8,6.670447446831517e-8,-3.5273840589602122e-9,1.6632455707727115e-7,-1.2920620667930168e-8,-1.1776825189153927e-8,4.694034468607961e-9,1.2106988595988571e-8,1.5552335886288626e-8,5.956396512515704e-9,1.190918186224685e-9,-1.1160446270490809e-7,-2.7368736933120347e-8,3.115786337280579e-7,-5.758790811919861e-8,-3.4891714502297766e-9
6.163575104259709e-4,2.2550570114700335e-5,8.898727077554276e-5,3.9580695546585846e-5,1.3204669630324187e-4,5.665904644757708e-5,7.905842601569589e-5,9.158812707481892e-5,8.328473085301192e-5,4.324231695857411e-5,-7.597116146828603e-5,-4.6496398259702896e-5,-3.140095451530148e-5,-7.240727675560112e-6,1.9416869540328245e-5,-1.3100040614730729e-5,1.0728084752975065e-7,2.3526819695409896e-4,2.1063055737200506e-4,1.230954057488624e-4,5.714656792977384e-6,3.657583146882653e-5,1.982319732853491e-4,5.708627801121597e-5,1.6558167863396705e-5,-3.378048145281156e-5,3.9161463374390514e-5,2.2312368472000263e-6,-1.709160682594353e-6,1.9118787424023505e-4,-3.5211160406701e-6,-3.0193784422294623e-6,-2.4855477821081137e-6,7.706514424509818e-6,4.902394967144055e-6,6.623211784777563e-6,-4.841291599718313e-6,-1.0842711571627014e-4,-6.747252631087661e-6,1.5603011339419397e-4,-2.0671984099455804e-5,-2.9945276880929724e-6
0.0021239028020242235,-2.055866284664206e-5,-3.776734389618338e-5,-8.839488704267081e-5,5.352123537969706e-5,-3.403869220325652e-5,-3.7804129412053894e-5,7.608598068705965e-6,3.34453563416374e-6,-5.2294972884524696e-5,-1.490051463764766e-4,-1.0729951297638037e-4,-7.967360947623141e-5,-8.35338354321452e-6,1.0381926840762819e-5,-1.918513472153341e-5,1.3464637872780662e-7,2.1063055737200525e-4,3.4446089239254565e-4,1.5885890959075266e-4,6.487356904019426e-6,1.9996432376597975e-5,2.1802434560231742e-4,6.697978760741059e-5,1.5273806752373037e-5,-4.106260378252673e-5,6.71626536603756e-5,-1.3024782193825687e-5,-1.3347001501483818e-6,2.1788941247227687e-4,-4.503525807949215e-7,-1.0338103603884893e-5,-1.2553365560768934e-6,1.2994904307683547e-5,1.1511550264775955e-5,6.675853713930533e-6,-6.117024366165719e-6,-2.850385589381389e-4,5.517599839140722e-6,3.6691198612411074e-4,-3.917446095813071e-5,-4.067193040778425e-6
8.08979750248077e-4,1.5684672320083782e-5,4.523025378332915e-5,-3.5340322068038726e-5,4.5639224137986736e-5,4.7523184554165325e-5,2.3847229991222242e-6,4.4449267470000054e-5,-8.556322753499481e-6,-2.9352722904545124e-5,-7.637470418719876e-5,-6.620087682727669e-5,-6.845994359666289e-5,-7.03363145812105e-6,-7.741525922465128e-6,-1.1472409026903433e-5,9.001518166837308e-8,1.230954057488631e-4,1.5885890959075341e-4,2.5298760973952166e-4,-2.302417073390289e-5,-3.9201024333121314e-6,7.649629574285013e-5,3.952843961992439e-5,-2.4052173823608006e-5,2.6634361531005872e-6,2.0967738310650983e-5,5.9330016985014755e-6,-1.456427021369897e-6,5.8678087121656314e-5,-4.066219013486779e-6,-4.721915973729088e-6,-6.5967003448907e-6,1.0038815976040845e-5,7.0928700409005655e-6,4.5349831282404595e-6,-3.4407780089583063e-7,-1.2620482473505427e-4,5.500213390406715e-6,2.0547663795586344e-4,-6.509566186718828e-5,-1.9786198626867308e-7
