(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,expected_economic_conditions,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection
-0.005068819903299085,0.0012678918529910055,0.0019945979247201545,0.002030874816699969,0.0019433328263557086,0.0025584650972520838,0.00253892838195641,0.0026685091586162784,0.003026788182155335,0.00325846132744777,0.0037660908539362964,0.0031424297816994478,0.003227538886939974,0.0029794549669189046,-7.630112075144301e-5,1.960799176428492e-5,-1.4386792560399444e-7,-1.7494057091196587e-4,-2.358157238918354e-4,-1.2023483439039174e-4,-6.342440448261898e-5,1.8165411736860023e-5,-2.6802105787379393e-4,6.816155558275097e-5,2.175393102956211e-5,4.309706295960755e-6,-4.1315358124205475e-5,-2.3663255182251544e-5,-4.310317452139959e-6,-1.875104602987147e-5,2.030889439574464e-5,1.74877294826361e-6,-3.96276691887064e-5,-2.1826449408049576e-5,-1.4476035444926181e-4,4.906751950467258e-6,3.44082547186864e-5,-2.939525980972747e-6,5.360672712988565e-5,-3.762407603590029e-5,-4.158201944382211e-6,2.4630839199990128e-5,7.354663044309426e-7,-4.6636120953856955e-5,-1.0627715875153082e-5,-9.268085873475042e-6,-1.1142819249471967e-5,-3.363354885398864e-5,3.3038033997543405e-5,9.586996258394216e-5,-2.5738301530604494e-5,-3.3850050767472137e-4,-7.423790451612426e-5,2.4521964058839567e-4,-0.001071166141198627,3.1003637048671486e-5
-0.007937544938616726,0.001376173352154672,0.0021366965293967244,0.0022338390619991077,0.002197113107897331,0.0027235492156950235,0.0028846272610313748,0.00260478783024905,0.0029633242244704434,0.0029755350986941124,0.003142429781699429,0.004183916086726777,0.003524581099430075,0.0031857795050751524,4.8250026516806844e-5,2.8085929525234337e-5,-2.6219386598701577e-7,-1.333185852989017e-4,-2.0941152773370735e-4,-1.0984969345895326e-4,-1.1319038135448027e-4,-2.3182008752428096e-5,-2.571050456383482e-4,4.2349531154499816e-5,1.953622645193456e-5,-3.7706509435485754e-5,-9.988569599494058e-5,-7.526056467249735e-5,4.084704812082545e-5,-1.1810017514383482e-4,5.232417992472496e-5,-8.53039494671162e-5,-1.2025198964743109e-4,-3.561497992582405e-5,-1.4930648717341756e-4,6.049079200680888e-6,3.7327988619176124e-5,-1.716246140946071e-5,5.330710917455378e-5,-2.001733744368984e-5,-8.44451332247459e-6,1.7230569185736774e-5,1.534464501258014e-5,-4.901111138989069e-5,-2.0421712033610266e-6,-4.564511752483947e-6,-1.2333622635670804e-5,-5.0570798671691755e-5,1.3033237639175985e-5,9.756806414239391e-5,-2.035473504813261e-5,3.547422778670934e-5,2.8912325520380098e-5,4.15433707155816e-4,-0.001023724119616283,1.7941983081332506e-5
-0.004791995916714204,0.0013354141931277979,0.0020605189536858338,0.002110372211270215,0.001926777851233168,0.002578734714758767,0.002661536827342957,0.0026126583314498983,0.0029808283538965584,0.0030432031154770155,0.0032275388869399562,0.003524581099430067,0.0038881399085505326,0.003208559440878689,4.013703831559452e-5,2.3304613343194775e-5,-2.631124695677363e-7,-1.0426919581398258e-4,-1.7206644894615766e-4,-9.694606360689849e-5,-1.0214259359338716e-4,1.914173201333834e-5,-2.499075768551227e-4,4.363626297162075e-5,9.349518867685557e-6,-4.8018695759605176e-5,-4.209658502229264e-5,-6.616051983510746e-5,5.645058435730759e-5,-8.842722814635868e-5,3.0273137087376498e-5,-4.11832224527639e-5,-2.607720075297151e-5,-1.9311719622433055e-6,-1.2212036640944836e-4,6.582754367497135e-6,6.487532994501106e-5,2.191606289753477e-6,4.778932367026873e-5,-3.7990289478422414e-5,-1.7531521389884174e-5,2.30195803941596e-5,5.654175091358483e-7,-4.0516120596837146e-5,-2.238020921048702e-6,-1.41282220083389e-5,-5.782400263988903e-6,-4.5183945519203796e-5,3.712011162640805e-5,8.471523457671022e-5,-1.9345764272795772e-5,-2.8950432675684126e-4,-2.5379926003260864e-6,2.9261118884697595e-4,-0.0010956220365563765,2.438745835578723e-5
-0.0030374679498115877,0.0012434286370575165,0.0018612691274815796,0.002115710919344669,0.002071371492024023,0.0025795633355986257,0.002661715745367536,0.002553717264102008,0.002801085065725989,0.002839729480581893,0.0029794549669188994,0.003185779505075162,0.003208559440878695,0.0036633129074324883,7.031495687509181e-6,1.5215209773189715e-5,-1.8944613710149107e-7,-4.9050493771317744e-5,-6.733385558953565e-5,-3.392296504097638e-5,-9.026752456981648e-5,1.4593911093950994e-6,-1.2830873481870346e-4,3.0801685279288866e-5,2.8066732241436805e-5,-3.573716313483535e-5,-4.628319115808032e-5,-6.870851089126803e-5,6.169396086683143e-5,-8.149500354315678e-5,8.0924605111151e-5,-1.2339854256234674e-5,-1.2248691646009896e-5,2.4284669333649724e-5,-5.5778286033555863e-05,3.2149956111298103e-6,3.823219865922899e-5,-8.839661759023654e-6,4.8562064898398e-5,-7.949288203333189e-6,-8.476532350507472e-6,7.569712302113194e-6,8.986334664982403e-6,-3.3447875341022634e-5,4.1868939702719207e-7,-1.4086167317103567e-5,-4.1418843843967445e-6,-3.6948578896975216e-5,1.630848018964313e-5,8.706503128664527e-5,-1.4518253399496438e-5,-6.997627773444198e-4,1.6428411320461623e-6,4.121481590357191e-4,-0.001012089017540532,2.6144363853528242e-5
0.0023924414950924956,-2.0828781755874263e-5,-1.0251107158728694e-5,-4.121818741196834e-5,-7.768967121558468e-5,-1.905968318411916e-4,-9.543647079367482e-5,-8.85086723042294e-5,9.797613103630161e-6,-2.6087120543129135e-5,-7.630112075144293e-5,4.825002651680684e-5,4.0137038315594355e-5,7.031495687509194e-6,1.8998427472704437e-4,1.3183871105469698e-5,-1.39606602035081e-7,2.29081230383297e-7,3.731705568309163e-6,-1.1709787712616444e-5,-6.977004946831012e-5,-2.8744296455902122e-5,-2.2987263531846097e-5,-1.7571597116435115e-5,-1.227543955767313e-5,-1.8522118085237233e-5,2.688963294973056e-7,-7.810442190394228e-5,-2.866938915636842e-5,1.9838237163490278e-5,-7.694704963337202e-6,-5.875549118758834e-5,-5.0825577874556884e-5,-5.469489479127408e-5,1.290761062816328e-6,-2.1042448593144144e-7,-2.1642332172232456e-5,-1.6086804295551939e-6,1.8169789063341383e-6,-1.728998331013222e-6,4.051449771724698e-6,-6.213497458373419e-6,3.4729914007141315e-6,1.445107425457385e-6,-3.0221562657484863e-7,-9.533013088975418e-6,3.294187102596868e-6,-2.5469506745392156e-6,-4.253435174530337e-6,-1.3501777228962986e-5,1.7309365726946419e-6,-2.9421139560602815e-5,2.589447984527654e-5,5.116031770453183e-5,1.027430770472249e-5,-1.7028692216857031e-6
3.29908385676148e-5,1.5004549508731514e-5,1.0791953621946009e-5,1.0804192665696011e-5,-1.293287087483675e-5,-6.398846562828519e-6,4.8647375520822054e-6,4.1315000687906155e-6,1.3706645672066154e-5,1.6633655390710867e-5,1.9607991764284833e-5,2.808592952523438e-5,2.3304613343194524e-5,1.5215209773189849e-5,1.3183871105469691e-5,6.477757834857489e-6,-6.27898147565067e-8,-1.635050066964549e-5,-2.2576138362929067e-5,-1.4402263350396707e-5,-1.6383989072277515e-5,-4.068066546161345e-6,-2.836142632767935e-5,-7.49036617096843e-7,-7.579871929107805e-6,1.257481586599716e-6,-1.857675903489108e-6,-1.4277597206487365e-5,-1.1582551971907973e-5,8.629634642493153e-6,-2.8398436456054224e-6,-1.0536353154877763e-5,-1.2363644709376219e-5,-1.1041896789548312e-5,-3.7411456737755493e-6,2.5985568649803353e-7,-2.2033938415022467e-7,5.571962412228398e-7,1.4160846179717618e-6,-3.014996024102242e-7,1.2190077746635973e-6,-1.6670075574733016e-6,-7.134873052425754e-7,-2.38721479143358e-7,-1.987511573179796e-6,4.3476538361725276e-7,-1.23748143021536e-6,-3.920400263932011e-7,4.366171428228751e-7,-1.0691500723079668e-8,-6.311348658556408e-7,1.0872472924400642e-5,1.6814855071495493e-6,-2.3619228321967536e-5,1.6660204893635925e-5,5.335940482762947e-7
-2.431164516086929e-7,-1.351958874861447e-7,-4.170240711340053e-8,-5.2217921317362046e-8,1.396553050718878e-7,9.161184776967283e-8,-3.8737305660959045e-8,-2.7316104348057132e-8,-7.577278671246704e-8,-1.1982763880921016e-7,-1.4386792560399402e-7,-2.6219386598701593e-7,-2.6311246956773377e-7,-1.8944613710149457e-7,-1.396066020350811e-7,-6.278981475650694e-8,6.926049558375456e-10,1.3228187881627287e-7,1.6882668808895433e-7,1.1769408144881989e-7,1.294634707681239e-7,3.657792214048449e-8,2.376486307825865e-7,2.31107471364026e-8,6.932278017771617e-8,5.525308271625866e-9,1.2855667227504676e-8,1.277734686762687e-7,9.225254116805192e-8,-5.714949266842776e-8,1.1283740979766456e-8,1.0579957210775515e-7,8.110502053211875e-8,7.103541346989896e-8,6.333093012272839e-8,-3.4761830106164823e-9,-5.985384916017405e-9,-6.845510435930978e-9,-1.1996071939635792e-8,3.3452305810430364e-9,-1.1267149411966141e-8,1.7389731480790336e-8,6.993331396256916e-9,-3.755896911408757e-11,1.8317391404660984e-8,-7.166612884134695e-9,1.084202628375818e-8,2.228185913923322e-9,-3.6351251206458695e-9,-2.100999289547111e-9,5.2676870643398665e-9,-7.227181196424415e-8,-2.8075464907592075e-8,1.29661252924988e-7,-8.680565176891943e-8,-3.354519200464971e-9
-1.8333011393805636e-4,-1.2451997024075752e-5,8.347068866677385e-6,4.3971669513993e-5,1.1293927466720196e-4,-8.224162077888144e-7,1.690432559341765e-5,1.7334886681561023e-5,-3.3897876394627053e-5,-5.536906406370453e-5,-1.7494057091196538e-4,-1.3331858529890139e-4,-1.0426919581398165e-4,-4.905049377131863e-5,2.2908123038329554e-7,-1.6350500669645873e-5,1.322818788162761e-7,2.611252359651074e-4,2.1496974728426368e-4,1.3920907809516667e-4,8.76454952946192e-5,5.569774395258718e-5,2.0844465507737566e-4,-2.7323589770410164e-5,6.024422073505777e-5,-9.375810423175223e-6,4.87367335267347e-5,2.2570831591962188e-5,1.4058573367690022e-4,-4.0169343231747374e-05,4.179085723629979e-5,3.079881746779365e-5,8.917968361882644e-5,1.0621802383341317e-4,-7.50407887187426e-6,-8.386483660841542e-7,-4.792321125318217e-5,7.312453395645038e-7,-5.041138832330736e-6,8.57606582540312e-7,-3.825620130554075e-6,8.893849844870105e-6,-1.279747853607367e-7,1.841648246755544e-6,6.9785326861726875e-6,6.678391975258682e-7,7.929698134298242e-6,4.214647487054801e-6,-8.088873379996211e-6,-5.549300365682173e-6,6.6330616012217185e-6,-1.0901611868632791e-4,-7.547140362026277e-6,7.576473457381387e-5,-3.0507804846849802e-5,-2.150141527631854e-6
0.001411809168672582,-1.5917268509507377e-5,-1.0025699060215945e-4,-6.785405404768801e-5,3.817792308757773e-5,-9.103860571013307e-5,-8.731246215505162e-5,-7.206115031212889e-5,-1.1859060414855183e-4,-1.429125234165231e-4,-2.3581572389183518e-4,-2.0941152773370762e-4,-1.72066448946157e-4,-6.733385558953681e-5,3.7317055683091675e-6,-2.2576138362929057e-5,1.6882668808895338e-7,2.1496974728426254e-4,3.4579034375735993e-4,1.742390685751549e-4,7.574578805247385e-5,2.0589888364003672e-5,2.1527110512750529e-4,-1.679646165897787e-5,4.0444483992360696e-5,-9.451942002482137e-7,3.8914717549355966e-5,2.98314400309929e-5,1.0686391933506712e-4,-3.400760294515414e-5,1.664637935557874e-5,3.079972456377744e-5,1.0151635369414508e-4,7.216459041438062e-5,-1.0163838425025707e-5,-1.0206048996979586e-6,-3.2613846070924435e-5,4.501370608057821e-6,-1.3638927240927793e-5,3.145781556921198e-6,-6.543890419998753e-6,1.1405387820203028e-5,4.4905079878139266e-6,4.6419227976569714e-6,1.1735238143648695e-5,-2.9448798816104123e-6,8.833745018441694e-6,2.558089687906613e-6,-5.309251017247058e-6,-4.932585486510196e-6,6.6385828199418726e-6,-2.910632795127141e-4,4.5685516284424785e-7,1.799431033776089e-4,-1.7564669335168342e-5,-1.1683986110054977e-6
6.592080852104036e-4,4.264179317212645e-6,2.5911696963612894e-5,2.3194770856466195e-5,5.983580488961029e-5,4.3516879724971284e-5,-6.860282031670715e-6,2.1066131893042875e-5,-5.213831098239594e-5,-6.475519767401778e-5,-1.2023483439039096e-4,-1.0984969345895298e-4,-9.694606360689807e-5,-3.392296504097693e-5,-1.1709787712616457e-5,-1.440226335039674e-5,1.1769408144881974e-7,1.392090780951665e-4,1.7423906857515488e-4,2.69227282920089e-4,1.9710801635016264e-5,7.920268658995809e-6,1.0117952315405626e-4,-1.828695930199418e-5,3.391729471127724e-5,-7.182912344577039e-7,1.6667151689954036e-5,-2.8440589460090035e-5,8.889180283927316e-5,-1.7456669947440164e-6,2.016012295600835e-6,-1.0755631762536407e-5,4.400213669473417e-5,2.382117802805139e-5,3.5687990667934757e-6,-1.3171224349305056e-6,-2.9115472470255646e-5,6.485370810278083e-7,-7.251438546984916e-6,-5.574595727901858e-6,-6.867938643496253e-6,1.0261682499344546e-5,-1.1881213150188277e-6,2.2449151811201184e-6,9.74881598577324e-6,9.480095474661206e-7,7.040029977495704e-6,3.420966918697807e-6,-3.3714874974744593e-6,-3.90445785056878e-6,5.477348950280914e-6,-1.4984905235878313e-4,2.98400307822957e-6,1.5885623981116653e-4,-7.869491306690137e-5,1.0576724150853808e-6
