(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
7.696387978287149e-5,-1.8591535292393268e-6,-2.682199113799378e-6,1.1527284558246498e-5,7.4787672581254175e-6,2.6515201046556175e-6,-1.0860262145167196e-6,-8.572129930707692e-7,6.757948427014245e-9,7.684128900157588e-6,2.614832915472763e-5,1.3759041779636523e-5,8.202730221349852e-6,-1.9971746775729612e-7,2.1268869011018376e-7,1.8835230992820693e-6,3.4677321710737475e-6,-2.230566748385388e-6,-2.2154936843827913e-6,-2.601915811113224e-6,1.032883528633977e-7,9.886456393893868e-7,-6.748001160283482e-8,-2.1791777353054166e-7,-3.254273819300876e-7,-1.1324096706087893e-6,2.762994902611796e-7,-5.868253830802468e-7,6.620573099783759e-6,3.863962615725305e-7,-8.738006605487321e-6,2.446909050137606e-5,-5.747099437020326e-7
-1.3762348254858192e-4,-1.208308411756103e-6,-3.672449931675148e-7,1.0703490394355441e-5,1.2283655630324027e-5,2.7522620206506477e-6,-2.1188746865535214e-7,-2.310636770758664e-7,-1.9056249589350232e-9,1.228208814273254e-5,1.3759041779636559e-5,4.537579953234664e-5,-2.018246889364943e-6,-8.552387710520795e-6,-3.948413556854854e-6,2.4234461128637012e-6,6.823322290623108e-6,2.2904376851859525e-6,4.32416253618474e-6,-2.497300883122674e-6,1.6315005641646854e-7,-1.611266718975221e-7,-7.415021489162063e-7,-6.612810117371092e-7,-1.260920413712646e-6,7.367884921506582e-7,-1.5555780254722928e-7,-9.246861274433962e-7,4.300332760442197e-5,3.63917636846788e-7,-5.05626305010388e-6,2.2891551170818477e-5,-7.200321965655262e-7
3.7493698193449316e-4,2.2000717123497693e-6,-6.0018462035429005e-6,1.014764701562785e-5,-6.469677486677492e-6,-2.6277508835073105e-5,-1.1549462160572976e-6,-1.2464900430399866e-6,1.254824750064866e-8,4.94620742574538e-6,8.20273022134986e-6,-2.0182468893649367e-6,4.619190216204037e-5,7.721259363334337e-6,4.099405985709507e-6,1.3057079162209737e-5,2.7734694505962097e-6,8.73510432572089e-7,1.977198917142742e-6,-4.025073516172608e-6,-2.1237057599627483e-8,2.778912732464989e-6,-3.7348621511163426e-7,-3.076687161704593e-6,-5.173023764281905e-7,9.833085404726902e-7,4.855309510906034e-7,-1.8961390271209173e-6,-1.4438660540549352e-5,-5.590361858910277e-6,-1.3705784899210444e-6,-8.598307699166085e-6,-8.554696612192843e-7
-2.7231295220968857e-4,-1.848556961163475e-6,-7.944022520970334e-7,-1.827053091343824e-5,-7.728594999261664e-6,-5.626983498604827e-6,7.219205370270697e-7,-6.200634414100831e-7,5.7827841006999026e-9,-4.1312439022012134e-7,-1.9971746775730345e-7,-8.552387710520797e-6,7.721259363334333e-6,4.1036255658672826e-5,7.770861869458172e-6,4.016719782231394e-6,-1.838634766319481e-5,-4.728547198188213e-6,-8.016610427244357e-6,2.0341765187329877e-6,-2.658456319332643e-7,1.3203992283545534e-6,4.284732851374139e-8,-5.431475145943153e-7,-5.728481917309064e-8,-6.225072668192042e-7,4.2459426068699244e-7,1.5414446210550162e-6,1.7048170236437926e-5,-1.4567689186143059e-6,-3.7303069167333473e-6,-7.434631962481e-6,-1.0957989248963015e-6
-2.1518733604726614e-4,7.836451348573155e-6,1.595941736073567e-5,9.890576668879688e-6,1.4068354471333694e-5,8.28672150347567e-6,3.403233672559062e-7,-4.28755659273737e-7,5.8879498664646025e-9,8.627895165643762e-7,2.1268869011018792e-7,-3.948413556854853e-6,4.099405985709511e-6,7.770861869458165e-6,2.6952445786493737e-5,7.167466181643415e-6,-4.805061940341939e-6,-4.5474682480061537e-7,-6.439964186916217e-6,2.544529717382406e-6,5.5141205755447026e-8,1.6756488337516307e-7,-1.2690839617967625e-7,7.260323196777517e-7,6.562820475602213e-7,3.734014048626048e-8,-4.678249684987398e-7,8.788189862145122e-7,-6.322271603777851e-7,-3.1946018896882313e-7,1.1072241819240615e-5,-1.4931554345696454e-5,2.349117143383151e-7
3.0135102788492006e-4,7.436255407395213e-6,1.8259605765123333e-6,3.867044486919182e-6,-6.147139348356217e-6,-1.1303145740061605e-5,2.145853122824093e-6,-2.1364614589557403e-7,5.28686943348226e-9,-2.905502255193734e-6,1.883523099282068e-6,2.423446112863702e-6,1.305707916220974e-5,4.016719782231403e-6,7.1674661816434185e-6,4.631795596656457e-5,4.580742728970302e-6,-4.7215621645823676e-6,-1.6175046109539016e-6,9.132315916881019e-6,-2.7837140791678155e-7,-6.274823163390649e-8,5.754878910506769e-7,-3.194606556612851e-7,8.852335694017149e-7,-1.3424422411182707e-6,1.7434186495595323e-7,-2.9005205069026365e-6,-1.1041574203151566e-5,-5.787440630643722e-6,4.853092959643068e-6,3.6011230594209303e-7,-3.524271737553703e-7
-4.292616999629851e-4,3.05463881630845e-7,-1.3559158740427497e-5,-1.6475881175548412e-5,-1.9905757708933127e-5,-2.679083787479769e-5,1.6989059910625627e-6,-1.000590616414812e-7,1.0134538207142292e-9,4.0862960593018254e-7,3.4677321710737382e-6,6.823322290623112e-6,2.7734694505962127e-6,-1.8386347663194816e-5,-4.805061940341932e-6,4.580742728970303e-6,5.0653127622402254e-5,1.1116320806014112e-5,5.15830484141071e-6,-1.0188677837225416e-6,2.623399389336344e-7,-1.5037954418261997e-7,-9.277074430151765e-7,-7.309981128186467e-8,8.148559738345723e-8,5.624362574830968e-7,3.231374030553319e-7,4.1137341924706094e-6,8.712530211802662e-6,-5.190315614804096e-6,9.645991103009142e-7,-5.309496382432878e-6,-1.0153419979410564e-6
1.9057337574923544e-4,-6.401514956749092e-6,-4.3990362377065235e-6,-7.492123985128224e-6,-4.2855815936639327e-7,-1.4609617351752793e-5,1.99551081634386e-6,7.348819695612548e-8,2.2511570299497113e-9,1.5402769085173222e-6,-2.2305667483853843e-6,2.2904376851859618e-6,8.735104325720927e-7,-4.728547198188212e-6,-4.5474682480062035e-7,-4.721562164582364e-6,1.1116320806014103e-5,8.132462944096906e-5,5.762590480548747e-6,1.0048872290585721e-5,1.399661021477718e-7,-7.391573740298984e-8,9.266791760441558e-8,-1.6435911934987346e-6,-4.612938643736082e-7,2.893392491200788e-6,-1.7706169040710554e-7,-6.828375077731513e-7,-3.4495371241007134e-5,-3.3119295404329827e-7,4.080396435532643e-5,-1.7101649733130627e-5,-4.010133030176829e-7
1.7475966939246973e-4,7.756168636287089e-6,1.2837730867207993e-5,1.25046945162674e-6,2.4873294879496627e-6,5.428240429326116e-6,1.5689410368116085e-6,-1.4686688331165403e-7,-1.295204561965928e-9,6.042167079867254e-6,-2.21549368438279e-6,4.324162536184733e-6,1.9771989171427417e-6,-8.016610427244353e-6,-6.4399641869162165e-6,-1.6175046109539018e-6,5.158304841410711e-6,5.762590480548745e-6,3.557383461268939e-5,-2.290831042753396e-6,2.240792811737896e-7,1.9160688914604439e-7,4.676835522239646e-8,3.9518114661329606e-7,-6.621465855092307e-7,-6.44545713030953e-7,3.4041795961605435e-7,-3.7040234948665434e-7,-1.4444469967885559e-5,-3.844093204685533e-6,-8.102240748533137e-6,1.1740330007711758e-5,5.911339447517072e-7
1.0355053883089442e-4,-1.4552690604358254e-6,2.368980314852654e-6,6.139917891662063e-6,1.6150693161988652e-6,2.4444626661061167e-6,1.0429294880067937e-6,2.509553787977852e-7,1.0434911723417056e-9,-5.124622316093346e-6,-2.601915811113224e-6,-2.4973008831226785e-6,-4.025073516172589e-6,2.034176518732992e-6,2.5445297173824083e-6,9.132315916881014e-6,-1.0188677837225314e-6,1.0048872290585701e-5,-2.290831042753393e-6,3.1762293843932414e-5,-9.256725480660351e-7,-1.2013627881327122e-6,1.3143820391784104e-6,-2.6722850348210147e-7,-3.3044156264773815e-7,-2.9177747073488225e-8,1.2935407412241965e-7,-8.324342032358464e-7,-2.539590114049355e-5,1.3278344298050736e-6,8.151329190942575e-6,-1.189901861089717e-5,-1.6176530679039694e-8
-5.1767640124407464e-6,1.941269116840835e-7,1.789397098681301e-7,1.5129499700585275e-7,3.0614513441889835e-7,1.8521810047357422e-7,-9.834285095915493e-8,7.214697815521687e-10,-1.1939973322471658e-10,2.577244674311966e-7,1.0328835286339738e-7,1.6315005641646873e-7,-2.1237057599628376e-8,-2.6584563193326423e-7,5.514120575544648e-8,-2.7837140791678134e-7,2.623399389336344e-7,1.3996610214777262e-7,2.2407928117378942e-7,-9.256725480660376e-7,4.7624416948875554e-8,3.988669203430493e-8,-4.3482957107999324e-8,2.4826452394903607e-8,1.786255019075481e-8,-1.0851160843133143e-8,-4.179076945534628e-9,5.172572505222985e-10,9.282859390822877e-7,-5.176467377134721e-8,-5.0064360925059915e-8,4.4871241727193975e-7,-7.178355986780688e-9
1.355402592785934e-4,4.5555930729371017e-7,-1.7423176009183948e-6,-8.400106317295013e-7,-1.1883997752334142e-6,-2.007827934030609e-6,-1.4728694779628882e-6,2.8102635505703647e-8,-8.585036569472119e-11,5.3327956681588e-7,9.886456393893798e-7,-1.6112667189752943e-7,2.7789127324649874e-6,1.3203992283545545e-6,1.6756488337516395e-7,-6.274823163390617e-8,-1.503795441826186e-7,-7.391573740298998e-8,1.9160688914604732e-7,-1.2013627881327127e-6,3.988669203430495e-8,2.3678345684342484e-6,-7.118861696951376e-7,-4.825117070459559e-7,-4.421214318528707e-7,-6.164397673036428e-7,-1.374282388335603e-7,-7.937112848201825e-7,1.683989066709019e-6,-1.1984844964656076e-6,-5.017261857079463e-6,4.739689866543707e-6,-6.447179585752208e-7
1.0437639304728297e-4,-4.6224481790234964e-7,1.1826493817537564e-6,2.170053058017077e-6,1.3608798463187496e-6,4.205564635926587e-6,9.235515534203002e-7,8.423585991534961e-8,-6.033275822154265e-10,6.272549601189806e-7,-6.748001160283526e-8,-7.415021489162059e-7,-3.7348621511163505e-7,4.284732851374168e-8,-1.269083961796762e-7,5.754878910506771e-7,-9.277074430151771e-7,9.26679176044171e-8,4.6768355222396054e-8,1.3143820391784093e-6,-4.348295710799933e-8,-7.118861696951314e-7,1.5199309160174226e-6,-2.551929059613246e-7,1.0574383982667658e-7,-8.215777379926585e-8,1.80421734977747e-7,-6.183111501249043e-7,-1.1845767708343583e-5,2.8343301032214813e-7,4.070125017237731e-6,-1.222919002806589e-6,-9.540170315236454e-8
-1.8280389137044026e-4,2.832956026266392e-6,2.627655153223944e-6,-3.4688302066463033e-6,2.2890714806721954e-7,3.832674225987284e-6,1.0837113504867051e-6,-1.0479030804573707e-8,-4.344116705445406e-11,-1.9440143950298884e-7,-2.179177735305458e-7,-6.612810117371035e-7,-3.076687161704593e-6,-5.431475145943156e-7,7.260323196777513e-7,-3.194606556612847e-7,-7.309981128186483e-8,-1.643591193498733e-6,3.9518114661329865e-7,-2.672285034821033e-7,2.4826452394903567e-8,-4.825117070459815e-7,-2.551929059613237e-7,2.138621314973609e-6,-5.361562586325341e-7,-6.318118470796666e-7,-3.3952047299860815e-7,1.0291784439795477e-6,6.498732474673406e-6,4.805107109563251e-7,-4.598655041730895e-6,-7.819886270282759e-7,6.643262617131095e-7
1.131534294524713e-5,-2.488759327303496e-7,3.7792265457817884e-7,-2.0334951455114164e-7,-2.5424251870916634e-6,-1.6092320537993146e-6,-2.545505431047775e-7,9.48423269486437e-8,-1.0560614510929323e-9,-1.305305335851936e-6,-3.254273819300833e-7,-1.260920413712649e-6,-5.173023764281905e-7,-5.728481917309116e-8,6.562820475602214e-7,8.852335694017155e-7,8.148559738345739e-8,-4.612938643736085e-7,-6.621465855092304e-7,-3.3044156264773296e-7,1.7862550190754792e-8,-4.4212143185285905e-7,1.0574383982667595e-7,-5.361562586325304e-7,1.880079915565885e-6,-2.066174809204713e-7,2.866169526894813e-7,-3.4012998458639573e-7,-7.128856488108507e-6,2.990015248580188e-7,-2.8122030576330927e-6,8.930859341839276e-7,1.5068834989019658e-8
-9.887470029060601e-7,-2.182785788378066e-6,-1.1991581756617844e-6,7.652938603155552e-7,7.970804591021579e-7,-2.7993002860722214e-6,-8.957138788961367e-7,-7.417600672595403e-8,7.866195259036194e-10,-5.697883725225167e-7,-1.1324096706087847e-6,7.367884921506598e-7,9.833085404726902e-7,-6.225072668192045e-7,3.7340140486260665e-8,-1.3424422411182702e-6,5.624362574830968e-7,2.893392491200787e-6,-6.44545713030953e-7,-2.917774707349127e-8,-1.0851160843133137e-8,-6.164397673036382e-7,-8.215777379926291e-8,-6.318118470796609e-7,-2.0661748092047586e-7,2.669625035468831e-6,-1.4145228864604606e-7,-2.045925183149476e-7,-8.420787117490661e-6,-4.856464296159276e-7,1.8234940563168848e-6,-4.568608943026579e-8,-8.513371787915142e-8
4.715807242899116e-5,-4.3863460461128274e-7,-9.498812239407397e-7,-4.691605536699463e-6,-1.2046623689263001e-6,-1.1090663220426726e-6,7.705971870691274e-7,-3.3228236981752274e-8,2.288699916280687e-10,7.590058094792361e-7,2.762994902611806e-7,-1.5555780254723132e-7,4.855309510906034e-7,4.2459426068699217e-7,-4.678249684987396e-7,1.7434186495595368e-7,3.2313740305533224e-7,-1.770616904071047e-7,3.4041795961605546e-7,1.2935407412242076e-7,-4.179076945534639e-9,-1.3742823883355824e-7,1.8042173497774476e-7,-3.395204729985969e-7,2.8661695268947584e-7,-1.414522886460454e-7,6.164493735466591e-7,3.45699950622051e-7,-1.1278318278659853e-5,-2.517366719297248e-7,7.524856589879862e-7,-6.872140371016605e-7,-2.1828628805385833e-8
-6.83104161520398e-4,-1.7556098257073053e-6,1.9700037067570614e-6,-1.5171725623456193e-5,-9.826904620136075e-6,-1.0714977321989831e-5,-9.21907618959115e-7,-3.5708396917992714e-8,-3.560742476077315e-11,-1.1616220250564878e-6,-5.868253830802231e-7,-9.24686127443385e-7,-1.8961390271209095e-6,1.5414446210550122e-6,8.788189862145065e-7,-2.90052050690263e-6,4.113734192470599e-6,-6.828375077731536e-7,-3.704023494866671e-7,-8.324342032358502e-7,5.172572505224568e-10,-7.937112848202112e-7,-6.183111501248985e-7,1.0291784439795397e-6,-3.4012998458644904e-7,-2.045925183149055e-7,3.45699950622031e-7,7.567333684844447e-6,1.81411664252158e-6,-3.102226697429577e-6,-3.609603848773865e-7,2.068880770673332e-6,2.7658226230778287e-7
-0.014863556199091452,3.7420832294907186e-5,-2.622185182068635e-5,9.028823570734954e-5,-5.810494891367811e-5,-9.7514280404231e-5,-1.2641971421094247e-6,2.5136454496229944e-6,-3.9345083193702964e-8,-1.226501835012125e-5,6.6205730997832816e-6,4.3003327604422236e-5,-1.4438660540549456e-5,1.704817023643794e-5,-6.322271603777395e-7,-1.1041574203151625e-5,8.71253021180281e-6,-3.449537124100719e-5,-1.4444469967885716e-5,-2.5395901140493497e-5,9.282859390822822e-7,1.683989066707636e-6,-1.1845767708341552e-5,6.4987324746724645e-6,-7.1288564881074234e-6,-8.420787117491984e-6,-1.1278318278659599e-5,1.8141166425238542e-6,0.0020286145648913015,-1.034817474208294e-5,-1.7667234765313575e-4,-9.592303733470629e-5,-4.073924638677432e-5
3.56053347794947e-4,-4.632914649255581e-6,-1.185634983681956e-5,3.804462744709126e-5,2.334995615564074e-5,1.137412862763525e-5,2.7823713766350814e-7,-1.102536334059471e-7,1.5910427428397457e-9,-5.87575009045446e-7,3.863962615725236e-7,3.6391763684677804e-7,-5.590361858910276e-6,-1.456768918614303e-6,-3.1946018896882085e-7,-5.787440630643718e-6,-5.1903156148040945e-6,-3.3119295404329986e-7,-3.844093204685537e-6,1.3278344298050733e-6,-5.176467377134703e-8,-1.1984844964655949e-6,2.834330103221349e-7,4.805107109563312e-7,2.990015248580198e-7,-4.85646429615922e-7,-2.5173667192972835e-7,-3.1022266974296116e-6,-1.034817474208233e-5,1.768831989557936e-5,-3.4191781443999784e-6,-2.6314253702222876e-8,1.0446608114380464e-6
0.0021185313837549058,-1.0744112497310408e-5,1.7156967262888322e-5,1.3548933859509889e-5,1.8264924311500653e-5,-4.361497062355179e-5,-5.128342167284891e-6,2.0645596675522918e-6,-7.895165644576358e-9,1.1427020040928414e-5,-8.738006605487358e-6,-5.05626305010408e-6,-1.3705784899208987e-6,-3.730306916733426e-6,1.1072241819240652e-5,4.8530929596430705e-6,9.645991103009807e-7,4.080396435532651e-5,-8.102240748533222e-6,8.151329190942516e-6,-5.0064360925059875e-8,-5.017261857079415e-6,4.070125017237755e-6,-4.598655041730431e-6,-2.8122030576332185e-6,1.8234940563170438e-6,7.524856589881616e-7,-3.6096038487653006e-7,-1.7667234765314862e-4,-3.4191781443997883e-6,8.534031947444742e-4,-3.624271319024708e-4,-3.1284706974820665e-6
9.290654226026561e-4,1.399575976146515e-5,3.0166108562901797e-5,1.6668032843272078e-5,1.821513167308991e-5,4.8737021349016106e-5,1.1248462402003734e-5,-1.7457622546293126e-6,1.3102818826656557e-8,1.1344334183096635e-5,2.446909050137602e-5,2.289155117081846e-5,-8.59830769916608e-6,-7.434631962481005e-6,-1.493155434569646e-5,3.6011230594209086e-7,-5.309496382432879e-6,-1.710164973313063e-5,1.174033000771174e-5,-1.1899018610897162e-05,4.487124172719389e-7,4.739689866543655e-6,-1.2229190028065413e-6,-7.819886270283365e-7,8.930859341839367e-7,-4.568608943029594e-8,-6.872140371016549e-7,2.068880770673601e-6,-9.592303733471014e-5,-2.6314253702233662e-8,-3.624271319024708e-4,8.957944371115286e-4,-7.95634880264132e-6
2.610221664014198e-4,4.121962208139489e-7,2.310367892719921e-6,-1.4141489369703031e-6,3.214667882521483e-6,4.625216589005209e-6,4.2732079886121056e-7,-9.269913649432996e-8,8.052800222751921e-10,1.5750532622594405e-7,-5.747099437020291e-7,-7.200321965655231e-7,-8.554696612192849e-7,-1.0957989248963e-6,2.3491171433831634e-7,-3.524271737553698e-7,-1.0153419979410547e-6,-4.010133030176806e-7,5.911339447517144e-7,-1.6176530679042176e-8,-7.178355986780521e-9,-6.447179585752266e-7,-9.540170315236415e-8,6.643262617131337e-7,1.506883498900296e-8,-8.51337178791635e-8,-2.1828628805389218e-8,2.7658226230781506e-7,-4.073924638677361e-5,1.044660811438058e-6,-3.128470697482775e-6,-7.95634880264134e-6,2.083505680176302e-6
