(Intercept),year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,rating_economic_conditions,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection
6.95238036434145e-4,-4.089730089051912e-5,-6.706656002390545e-5,-1.508799459798193e-4,-1.0864691948472527e-4,8.308919610082907e-6,1.1873682689425107e-5,-2.1147998458559222e-5,1.562010361147201e-7,2.634877801414552e-4,3.876100310365599e-4,6.322806807677675e-4,-1.7388125145072637e-6,3.3189624095887305e-5,1.40185376283414e-4,8.636197174155455e-5,-4.7229508182181324e-5,-2.919231031999205e-5,-2.0014431334736698e-5,1.1334239212546796e-5,-1.951149561203772e-6,-3.3767719965315614e-5,1.1089395343707485e-5,-1.441688563408526e-5,2.143245006144976e-5,1.1269142632354986e-5,6.792787859500165e-6,-1.4068978004083185e-6,9.365275664565423e-6,-4.032777220583335e-4,2.8510374543421996e-7,2.2061901137697694e-4,9.874798355208347e-5,1.1816020916761091e-8
0.0017003138400037917,-5.7997266247135166e-5,-9.801375012994824e-5,7.636271942496154e-5,-2.8741572136187268e-5,-6.457191357295642e-5,-5.4644413829964824e-5,-1.1445921039824032e-5,9.443919731375453e-8,1.028692695450847e-4,6.128858526640306e-5,-1.7388125145073023e-6,3.047340877180194e-4,6.355470175057358e-5,1.1169511555366637e-4,-3.265158270441269e-5,3.3221415319895946e-5,-6.860498774734334e-5,4.1819368860151035e-5,-1.06949685888228e-5,7.193072040134448e-7,4.8433007828327784e-5,6.350285194191142e-6,-7.780372522686921e-6,-2.897114107619588e-6,-1.0547747667000566e-5,2.2172435457698674e-6,3.703172827685086e-6,1.336171455430314e-5,-2.3218147403251138e-4,2.905307398649987e-5,2.0279492963667643e-4,0.00011816008919068473,-1.1276098817472065e-6
-0.0041505920661711855,8.150284595569482e-5,4.003194629964303e-5,1.388081739681912e-4,6.549264442859447e-5,-1.558007303630896e-5,-4.154556845814398e-5,-1.3581484463847248e-6,1.5268546725041343e-8,8.569445710079344e-5,5.901046091554661e-5,3.318962409588731e-5,6.355470175057367e-5,3.631904161948518e-4,1.2136856779248297e-4,2.0721336940482195e-5,3.383911017737918e-6,-1.3468378177195853e-4,1.866098085471688e-5,1.9453362689005583e-5,-1.3369015428439016e-6,-7.622048596562247e-6,-1.439928280477915e-5,1.2019003200939367e-5,7.534591840594262e-7,7.598719868088339e-6,4.010545672679102e-6,4.5635052568171064e-6,3.694348667422546e-5,-1.1701965376057755e-4,5.720649827710851e-6,2.497931927380116e-4,-1.1863132992023719e-4,-1.7286907034746998e-6
-0.004181607803422273,1.9265165877918907e-5,-8.616954680774009e-5,-3.151499777771257e-5,-7.961589233723571e-6,-1.7508352433025664e-5,1.3350872509902697e-5,-1.872508689238186e-5,1.5275179458157307e-7,2.303211514796186e-4,2.639396635261519e-4,1.4018537628341423e-4,1.1169511555366623e-4,1.21368567792483e-4,5.322309508590089e-4,9.71793822859388e-5,1.2530771292964472e-4,-1.2800930057434224e-4,1.0669164417454794e-4,4.160273488213264e-5,-1.7866137884268284e-6,-1.8784155829994872e-5,-1.5324893851505563e-5,3.8109513705449505e-6,2.9002524044332967e-5,-4.919555730192509e-6,6.5607721526912286e-6,-4.037016239666626e-7,2.2427636850101196e-5,-2.87565632429328e-6,3.71888490633067e-6,2.5393546501745906e-4,5.44812304838234e-6,-1.3294947001674974e-6
-8.631284489816124e-4,-1.56502702119278e-5,1.7081568008118775e-5,-1.3037816521991515e-4,-1.0673860235179714e-5,-7.346578622371301e-5,-2.766669630924513e-5,-6.726121967660622e-6,6.000717252022938e-8,5.8312391010408086e-5,8.514819685371308e-5,8.636197174155457e-5,-3.2651582704412706e-5,2.0721336940482223e-5,9.717938228593881e-5,2.1419787981338058e-4,7.208527401074622e-5,1.6764173583325045e-5,6.348407692808495e-5,5.667135134561017e-5,-1.195995367581759e-6,-7.027402218939709e-6,-1.1359916046827488e-5,4.843944851774692e-6,8.708186262874514e-6,-2.2137307261837354e-6,1.7639603006302092e-6,-3.622693494446311e-6,-3.9147292651560105e-6,7.738303049495381e-5,-1.4941517032834635e-5,-3.260474427637271e-5,1.026999115648112e-4,-4.211786733879937e-7
-0.0025139900802924097,2.0950880611135743e-5,1.1270543665035144e-4,9.63819618936616e-5,2.008552013370651e-4,1.218125205199205e-4,-1.0735982301064488e-4,-1.0701870735784529e-5,9.51269601886972e-8,1.9489281398473576e-6,2.022339455163321e-5,-4.722950818218157e-5,3.3221415319896e-5,3.3839110177378813e-6,1.2530771292964477e-4,7.208527401074627e-5,4.0568488944956344e-4,5.559245546830997e-5,1.1329342810150161e-4,3.171128691135053e-5,1.5150485692398522e-6,1.3067102968680263e-5,-1.8312650949386886e-5,1.6781588781932976e-5,3.343535501532565e-5,-4.929278500680153e-6,1.6572089945689866e-5,-9.271564968513641e-6,5.5136602130272616e-6,-2.696400744957012e-4,3.280260755786675e-5,1.3831224508208776e-4,-3.081770132467366e-4,1.5079315651479998e-5
5.387795210350137e-4,-5.5654822893035186e-5,-9.643410417070631e-5,-3.97394810967752e-4,-1.8870575910368044e-4,-1.7808487933425963e-4,5.7952279523127575e-5,1.6184597304857176e-5,-1.2523117232733422e-7,-9.666652210978375e-5,-1.1312096391387412e-4,-2.919231031999196e-5,-6.860498774734334e-5,-1.346837817719585e-4,-1.2800930057434224e-4,1.6764173583325022e-5,5.559245546830991e-5,5.351044804215128e-4,3.2265172433813685e-5,4.50565292005469e-5,1.7167040367653578e-6,-3.789677302890926e-5,7.804781773405997e-7,4.448295268709777e-6,-2.1835070329192307e-6,-8.452861483797525e-6,2.147406884631112e-6,-5.129679803088813e-6,-1.622655729951543e-5,1.4318286391022994e-5,-3.142620137955942e-5,-4.650206927420944e-4,3.1156663619136393e-6,1.3458668291380255e-5
-0.0023395574470274445,2.949655645167842e-5,3.9206374345933094e-5,3.62371467538816e-5,1.155020470697676e-4,9.073290752187015e-5,-8.787740846530529e-5,-2.214269964555196e-6,1.2226356027122163e-8,-2.944498669862779e-7,2.768560562137129e-6,-2.001443133473662e-5,4.1819368860151056e-5,1.866098085471689e-5,1.0669164417454785e-4,6.348407692808488e-5,1.1329342810150158e-4,3.226517243381373e-5,2.603712785147474e-4,2.378265983259461e-5,3.7724481891562627e-7,-5.447473557642444e-6,8.984541053348663e-6,-9.319353519727244e-7,1.8159935181949387e-5,-1.2403844300648541e-5,5.104416455821398e-6,-8.220240278352757e-6,2.459191877685354e-5,-1.6607963428649883e-4,2.4330939097129398e-5,8.32051994290878e-5,-1.1096300045836703e-4,2.6398139363562335e-6
-1.2197454812487698e-4,-4.830018911025925e-5,3.7290376931166676e-5,-7.382424686138029e-5,5.0087294124127536e-5,1.3029075032562162e-4,-1.550197918275067e-5,-3.5189005720413325e-6,5.999713925007063e-8,-1.7149469804019458e-6,-2.1505591348370284e-5,1.1334239212546722e-5,-1.0694968588822649e-5,1.945336268900554e-5,4.1602734882132685e-5,5.667135134561011e-5,3.1711286911350664e-5,4.505652920054694e-5,2.3782659832594562e-5,2.486200653271109e-4,-6.01656064885432e-6,-1.8095465512179526e-5,-7.281429487101706e-6,3.342684604614157e-7,1.8352354921076307e-5,-9.203019841977906e-6,9.489109682200555e-7,1.0255023116414477e-8,-4.230511710021058e-6,-2.1414515745904838e-4,2.9336466923334037e-5,8.137429936073725e-5,-8.832094179399955e-5,6.359736060749869e-6
-2.5481469969622377e-5,5.129361082538484e-7,-1.3523510338960292e-6,2.6336506979681774e-6,1.9790254925507e-6,-1.9308984434599698e-6,-2.407454468171346e-7,2.212680710870302e-7,-3.3219593213149354e-9,-1.1354276350028259e-6,-1.1317151362010585e-6,-1.9511495612037685e-6,7.193072040134432e-7,-1.3369015428439025e-6,-1.78661378842683e-6,-1.1959953675817586e-6,1.5150485692398495e-6,1.7167040367653515e-6,3.772448189156256e-7,-6.016560648854315e-6,2.560203212488946e-7,1.1312790083419603e-6,7.361844508638512e-8,3.992351284209036e-8,2.872189911844032e-8,-2.7825165689907044e-8,2.1177527689607168e-7,-1.3710311189092033e-7,-1.525039008954038e-7,5.682217663258618e-6,-1.3812228887644295e-7,-2.6554788458986677e-6,-1.9061962298479512e-6,-1.0381891154304296e-8
